industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,Retail Trade,119011355,Chullora,13,13,24,11,7,3,71
industry_code,Retail Trade,119011356,Condell Park,43,36,81,18,9,11,198
industry_code,Retail Trade,119011358,Padstow,35,36,38,5,5,0,121
industry_code,Retail Trade,119011360,Revesby,28,27,30,4,3,0,91
industry_code,Retail Trade,119011361,Yagoona - Birrong,44,38,48,5,0,3,138
industry_code,Retail Trade,119011571,Bankstown - North,47,48,47,13,3,3,158
industry_code,Retail Trade,119011572,Bankstown - South,33,57,73,15,4,5,187
industry_code,Retail Trade,119011655,Greenacre - North,21,40,62,11,4,3,140
industry_code,Retail Trade,119011656,Greenacre - South,41,36,39,7,6,0,130
industry_code,Retail Trade,119011657,Panania (North) - Milperra,6,18,10,0,0,3,36
industry_code,Retail Trade,119011658,Panania (South) - Picnic Point,16,22,26,8,0,0,72
industry_code,Retail Trade,119021362,Belmore - Belfield,40,38,43,15,4,3,142
industry_code,Retail Trade,119021366,Punchbowl,44,44,60,12,5,4,169
industry_code,Retail Trade,119021367,Roselands,27,28,35,11,0,3,106
industry_code,Retail Trade,119021573,Lakemba,43,29,67,7,3,3,150
industry_code,Retail Trade,119021574,Wiley Park,18,13,10,6,0,0,47
industry_code,Retail Trade,119021659,Campsie - North,30,24,23,5,0,0,84
industry_code,Retail Trade,119021660,Campsie - South,31,27,52,7,3,0,119
industry_code,Retail Trade,119021661,Canterbury - South,21,18,20,4,3,3,66
industry_code,Retail Trade,119021662,Earlwood,27,36,39,7,6,3,116
industry_code,Retail Trade,119021663,Kingsgrove - North,16,17,18,9,3,0,62
industry_code,Retail Trade,119031370,Narwee - Beverly Hills,22,22,29,4,0,0,78
industry_code,Retail Trade,119031371,Oatley - Hurstville Grove,24,26,26,3,3,0,81
industry_code,Retail Trade,119031372,Peakhurst - Lugarno,36,32,64,17,6,5,160
industry_code,Retail Trade,119031373,Riverwood,19,22,21,4,0,0,67
industry_code,Retail Trade,119031374,South Hurstville - Blakehurst,55,36,59,8,6,0,165
industry_code,Retail Trade,119031664,Hurstville - Central,42,47,72,15,3,4,183
industry_code,Retail Trade,119031665,Hurstville - North,28,19,20,5,3,0,75
industry_code,Retail Trade,119031666,Mortdale - Oatley,9,14,25,5,0,0,56
industry_code,Retail Trade,119031667,Penshurst,17,25,19,3,0,3,66
industry_code,Retail Trade,119041377,Kingsgrove (South) - Bardwell Park,31,20,27,8,3,0,88
industry_code,Retail Trade,119041378,Kogarah,26,23,34,8,4,5,100
industry_code,Retail Trade,119041379,Kogarah Bay - Carlton - Allawah,24,36,32,4,0,0,98
industry_code,Retail Trade,119041380,Monterey - Brighton-le-Sands - Kyeemagh,26,21,26,8,3,0,85
industry_code,Retail Trade,119041381,Rockdale - Banksia,35,44,66,13,6,0,165
industry_code,Retail Trade,119041382,Sans Souci - Ramsgate,36,20,42,7,3,0,108
industry_code,Retail Trade,119041668,Arncliffe - Bardwell Valley,37,28,34,11,10,3,123
industry_code,Retail Trade,119041669,Bexley - North,29,21,18,6,3,0,76
industry_code,Retail Trade,119041670,Bexley - South,23,29,21,3,3,0,77
industry_code,Retail Trade,119041671,Wolli Creek,22,6,23,3,0,3,56
industry_code,Accommodation and Food Services,119011354,Bass Hill - Georges Hall,24,32,42,5,7,4,114
industry_code,Accommodation and Food Services,119011355,Chullora,3,7,11,0,3,0,24
industry_code,Accommodation and Food Services,119011356,Condell Park,10,24,21,0,0,0,59
industry_code,Accommodation and Food Services,119011358,Padstow,8,13,25,3,0,0,49
industry_code,Accommodation and Food Services,119011360,Revesby,10,21,25,0,0,3,58
industry_code,Accommodation and Food Services,119011361,Yagoona - Birrong,13,19,28,0,0,3,61
industry_code,Accommodation and Food Services,119011571,Bankstown - North,20,26,40,4,0,0,91
industry_code,Accommodation and Food Services,119011572,Bankstown - South,21,36,55,0,0,0,114
industry_code,Accommodation and Food Services,119011655,Greenacre - North,10,18,28,4,0,0,62
industry_code,Accommodation and Food Services,119011656,Greenacre - South,15,17,37,3,0,0,74
industry_code,Accommodation and Food Services,119011657,Panania (North) - Milperra,6,8,10,3,3,0,27
industry_code,Accommodation and Food Services,119011658,Panania (South) - Picnic Point,11,11,24,0,0,0,46
industry_code,Accommodation and Food Services,119021362,Belmore - Belfield,15,25,39,5,0,0,85
